user_id,target_domain,target_role,owned_skills,user_experience,user_education
U-0207,Cloud & DevOps,DevOps Engineer,"[""Jenkins"", ""GitLab CI"", ""Kubernetes""]",1 - 3 Tahun,S2/S3
U-0208,Cloud & DevOps,Cloud Engineer,"[""Linux"", ""Terraform"", ""AWS"", ""Azure"", ""Python""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0209,Cyber Security,Security Analyst,"[""Log Analysis"", ""Incident Response""]",< 1 Tahun,D3
U-0210,Cyber Security,Security Analyst,"[""Networking"", ""Threat Intelligence""]",Belum ada pengalaman,S1/D4
U-0211,Web Development,Backend Engineer,"[""MongoDB"", ""Python"", ""Express"", ""PHP""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0212,Data Science & AI,AI Engineer,"[""Vector DB"", ""OpenAI API"", ""Git"", ""Docker""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0213,Data Science & AI,Data Scientist,"[""Python"", ""Scikit-Learn"", ""R""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0214,Data Science & AI,Data Analyst,"[""Statistics"", ""Pandas"", ""Python""]",< 1 Tahun,D3
U-0215,Web Development,Backend Engineer,"[""Docker""]",Belum ada pengalaman,SMA/SMK
U-0216,Cloud & DevOps,Cloud Engineer,"[""Terraform"", ""Git"", ""Kubernetes"", ""Docker"", ""GCP"", ""CI/CD""]",> 3 Tahun,S1/D4
U-0217,Cloud & DevOps,Cloud Engineer,"[""AWS""]",Belum ada pengalaman,D3
U-0218,UI/UX Design,Product Designer,"[""Miro"", ""Agile/Scrum"", ""Figma"", ""Design System"", ""Prototyping"", ""User Research""]",1 - 3 Tahun,S1/D4
U-0219,UI/UX Design,Product Designer,"[""User Research"", ""Adobe XD"", ""Figma"", ""Accessibility"", ""Wireframing"", ""Miro""]",1 - 3 Tahun,D3
U-0220,UI/UX Design,UX Researcher,"[""Usability Testing"", ""Maze"", ""Figma"", ""Data Analysis"", ""Personas""]",< 1 Tahun,D3
U-0221,UI/UX Design,UI Designer,"[""Illustrator""]",> 3 Tahun,S2/S3
U-0222,Quality Assurance (QA) & Testing,SDET,"[""API Testing""]",1 - 3 Tahun,S1/D4
U-0223,Mobile Development,iOS Developer,"[""UIKit"", ""SwiftUI"", ""Git"", ""Swift"", ""Firebase"", ""Xcode""]",1 - 3 Tahun,D3
U-0224,UI/UX Design,Product Designer,"[""Prototyping"", ""Accessibility"", ""Miro"", ""Design System"", ""Agile/Scrum"", ""User Research""]",> 3 Tahun,S2/S3
U-0225,Mobile Development,Android Developer,"[""Android SDK"", ""MVVM"", ""REST API""]",> 3 Tahun,S1/D4
U-0226,Data Science & AI,Data Analyst,"[""Tableau"", ""Statistics"", ""SQL"", ""NumPy"", ""Pandas""]",1 - 3 Tahun,S1/D4
U-0227,Cloud & DevOps,Cloud Engineer,"[""GCP"", ""AWS"", ""Azure"", ""Git""]",< 1 Tahun,D3
U-0228,UI/UX Design,UI Designer,"[""Typography"", ""Color Theory"", ""Figma"", ""Wireframing""]",> 3 Tahun,S2/S3
U-0229,Data Science & AI,Machine Learning Engineer,"[""PyTorch"", ""Kubernetes""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0230,Cyber Security,Penetration Tester,"[""Wireshark"", ""Networking"", ""Kali Linux"", ""Burp Suite"", ""Python""]",1 - 3 Tahun,S2/S3
U-0231,Cloud & DevOps,DevOps Engineer,"[""GitLab CI"", ""Python"", ""Kubernetes"", ""Docker""]",1 - 3 Tahun,D3
U-0232,Cloud & DevOps,DevOps Engineer,"[""Docker"", ""Git""]",Belum ada pengalaman,D3
U-0233,Cyber Security,Security Analyst,"[""Threat Intelligence"", ""Networking""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0234,UI/UX Design,UI Designer,"[""Prototyping"", ""Design System""]",> 3 Tahun,S2/S3
U-0235,Cloud & DevOps,SRE,"[""Incident Management"", ""Terraform"", ""Git"", ""Python"", ""Docker"", ""Linux""]",> 3 Tahun,S2/S3
U-0236,Web Development,Backend Engineer,"[""MongoDB"", ""Django"", ""PostgreSQL"", ""MySQL"", ""PHP"", ""Laravel""]",Belum ada pengalaman,S1/D4
U-0237,Data Science & AI,Data Scientist,"[""R""]",Belum ada pengalaman,S1/D4
U-0238,UI/UX Design,UI Designer,"[""Sketch"", ""Prototyping"", ""Color Theory"", ""Wireframing""]",> 3 Tahun,S2/S3
U-0239,Data Science & AI,AI Engineer,"[""OpenAI API"", ""FastAPI"", ""PyTorch"", ""Docker""]",< 1 Tahun,S1/D4
U-0240,Data Science & AI,Machine Learning Engineer,"[""Docker"", ""Scikit-Learn"", ""Git""]",> 3 Tahun,S2/S3
U-0241,UI/UX Design,UX Researcher,"[""Journey Mapping"", ""Survey Design"", ""Maze""]",1 - 3 Tahun,S2/S3
U-0242,Cyber Security,DevSecOps,"[""Git"", ""AWS"", ""CI/CD""]",< 1 Tahun,S1/D4
U-0243,Quality Assurance (QA) & Testing,SDET,"[""Performance Testing"", ""Java"", ""Python""]",1 - 3 Tahun,S1/D4
U-0244,UI/UX Design,UI Designer,"[""Figma"", ""Illustrator"", ""Design System""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0245,Cyber Security,Security Analyst,"[""Threat Intelligence"", ""Python"", ""Linux"", ""SIEM""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0246,Web Development,Backend Engineer,"[""PostgreSQL"", ""MySQL""]",> 3 Tahun,S1/D4
U-0247,Cloud & DevOps,Cloud Engineer,"[""Kubernetes"", ""AWS"", ""Python"", ""Docker"", ""GCP"", ""Azure""]",1 - 3 Tahun,D3
U-0248,Web Development,Frontend Engineer,"[""CSS"", ""TypeScript"", ""Next.js"", ""TailwindCSS"", ""Vue.js""]",1 - 3 Tahun,D3
U-0249,Data Science & AI,Data Scientist,"[""TensorFlow"", ""Statistics""]",> 3 Tahun,S1/D4
U-0250,Mobile Development,iOS Developer,"[""Git"", ""Xcode"", ""CoreData"", ""Swift""]",1 - 3 Tahun,S2/S3
U-0251,UI/UX Design,UI Designer,"[""Figma"", ""Wireframing"", ""Adobe XD"", ""Sketch""]",< 1 Tahun,D3
U-0252,Mobile Development,iOS Developer,"[""Xcode"", ""SwiftUI"", ""Objective-C"", ""Git"", ""REST API""]",Belum ada pengalaman,S1/D4
U-0253,Mobile Development,Android Developer,"[""Git"", ""MVVM"", ""Jetpack Compose"", ""REST API"", ""Room DB"", ""Kotlin""]",> 3 Tahun,S1/D4
U-0254,Cyber Security,DevSecOps,"[""CI/CD"", ""Python""]",> 3 Tahun,S1/D4
U-0255,Web Development,Frontend Engineer,"[""JavaScript""]",< 1 Tahun,D3
U-0256,Quality Assurance (QA) & Testing,Manual QA,"[""SQL"", ""API Testing"", ""Jira"", ""Bug Reporting"", ""Postman"", ""Regression Testing""]",< 1 Tahun,D3
U-0257,Quality Assurance (QA) & Testing,Manual QA,"[""API Testing"", ""Agile/Scrum"", ""SQL"", ""Postman""]",Belum ada pengalaman,D3
U-0258,UI/UX Design,Product Designer,"[""Agile/Scrum"", ""Adobe XD"", ""Miro"", ""Accessibility"", ""Figma""]",< 1 Tahun,S1/D4
U-0259,Web Development,Backend Engineer,"[""Docker"", ""Laravel"", ""REST API"", ""Git"", ""MySQL"", ""MongoDB""]",< 1 Tahun,D3
U-0260,Cloud & DevOps,DevOps Engineer,"[""Terraform"", ""Docker"", ""Kubernetes"", ""Linux""]",< 1 Tahun,D3
U-0261,Mobile Development,Flutter Engineer,"[""Dart"", ""REST API"", ""Firebase""]",Belum ada pengalaman,SMA/SMK
U-0262,Web Development,Frontend Engineer,"[""TypeScript"", ""Next.js"", ""CSS""]",> 3 Tahun,S2/S3
U-0263,Quality Assurance (QA) & Testing,SDET,"[""Python"", ""Git"", ""JMeter"", ""Java"", ""API Testing"", ""Performance Testing""]",Belum ada pengalaman,S1/D4
U-0264,Mobile Development,Flutter Engineer,"[""Flutter""]",1 - 3 Tahun,D3
U-0265,Mobile Development,Android Developer,"[""REST API""]",> 3 Tahun,S2/S3
U-0266,Cloud & DevOps,DevOps Engineer,"[""GitLab CI""]",1 - 3 Tahun,D3
U-0267,Cloud & DevOps,SRE,"[""Docker"", ""Python"", ""Grafana"", ""CI/CD"", ""Prometheus"", ""Terraform""]",1 - 3 Tahun,S1/D4
U-0268,Cloud & DevOps,Cloud Engineer,"[""AWS"", ""Git""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0269,Cloud & DevOps,DevOps Engineer,"[""Terraform"", ""Python"", ""Kubernetes"", ""GitLab CI""]",> 3 Tahun,S2/S3
U-0270,Web Development,Frontend Engineer,"[""HTML"", ""JavaScript"", ""TailwindCSS"", ""Next.js"", ""Vue.js""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0271,Cloud & DevOps,SRE,"[""Incident Management"", ""Grafana"", ""CI/CD"", ""Linux"", ""Kubernetes"", ""Git""]",Belum ada pengalaman,SMA/SMK
U-0272,Mobile Development,Flutter Engineer,"[""Provider"", ""Hive"", ""Flutter"", ""BLoC""]",> 3 Tahun,S2/S3
U-0273,Cyber Security,Security Analyst,"[""Threat Intelligence"", ""Firewall"", ""Python"", ""Log Analysis"", ""Linux""]",> 3 Tahun,S1/D4
U-0274,Cyber Security,Penetration Tester,"[""Wireshark"", ""Kali Linux"", ""Networking"", ""Metasploit"", ""Burp Suite"", ""Nmap""]",< 1 Tahun,S1/D4
U-0275,Mobile Development,Flutter Engineer,"[""Dart"", ""GetX"", ""REST API"", ""Firebase"", ""Provider""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0276,Mobile Development,Android Developer,"[""Jetpack Compose"", ""Room DB"", ""Firebase""]",< 1 Tahun,S1/D4
U-0277,Data Science & AI,AI Engineer,"[""LangChain"", ""PyTorch"", ""Git"", ""Docker""]",> 3 Tahun,S2/S3
U-0278,Cloud & DevOps,Cloud Engineer,"[""Kubernetes""]",1 - 3 Tahun,S1/D4
U-0279,Cyber Security,DevSecOps,"[""Git"", ""SAST"", ""Docker"", ""AWS""]",< 1 Tahun,D3
U-0280,Data Science & AI,Machine Learning Engineer,"[""PyTorch"", ""Pandas""]",< 1 Tahun,S1/D4
U-0281,Quality Assurance (QA) & Testing,Automation QA,"[""Jira"", ""CI/CD"", ""Java"", ""Python""]",1 - 3 Tahun,D3
U-0282,UI/UX Design,UX Researcher,"[""Figma"", ""Usability Testing"", ""Survey Design"", ""User Interview"", ""Miro"", ""Journey Mapping""]",1 - 3 Tahun,S1/D4
U-0283,Web Development,Frontend Engineer,"[""Bootstrap""]",> 3 Tahun,S1/D4
U-0284,Web Development,Fullstack Engineer,"[""Docker"", ""JavaScript"", ""HTML"", ""REST API"", ""PostgreSQL""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0285,Quality Assurance (QA) & Testing,SDET,"[""CI/CD"", ""JMeter""]",> 3 Tahun,S2/S3
U-0286,UI/UX Design,UI Designer,"[""Color Theory""]",1 - 3 Tahun,D3
U-0287,Mobile Development,Android Developer,"[""MVVM"", ""Git"", ""Java"", ""Kotlin"", ""Firebase"", ""REST API""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0288,Web Development,Frontend Engineer,"[""HTML""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0289,Quality Assurance (QA) & Testing,Automation QA,"[""Java"", ""TestNG""]",1 - 3 Tahun,S1/D4
U-0290,Data Science & AI,Data Analyst,"[""Data Visualization"", ""Git"", ""Statistics""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0291,Web Development,Fullstack Engineer,"[""TypeScript"", ""Docker"", ""CSS"", ""PostgreSQL"", ""JavaScript""]",> 3 Tahun,S2/S3
U-0292,Quality Assurance (QA) & Testing,Automation QA,"[""Git"", ""Postman"", ""TestNG"", ""Selenium""]",> 3 Tahun,S1/D4
U-0293,Data Science & AI,Machine Learning Engineer,"[""Python"", ""Kubernetes"", ""Docker""]",< 1 Tahun,D3
U-0294,Quality Assurance (QA) & Testing,Automation QA,"[""Postman"", ""Playwright""]",< 1 Tahun,S1/D4
U-0295,Cloud & DevOps,Cloud Engineer,"[""Azure"", ""Git"", ""GCP"", ""Docker"", ""AWS"", ""CI/CD""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0296,UI/UX Design,UI Designer,"[""Figma"", ""Sketch"", ""Typography"", ""Prototyping""]",> 3 Tahun,S1/D4
U-0297,Cyber Security,Penetration Tester,"[""Wireshark""]",> 3 Tahun,S1/D4
U-0298,Web Development,Backend Engineer,"[""Git""]",Belum ada pengalaman,SMA/SMK
U-0299,Web Development,Backend Engineer,"[""Python"", ""MySQL"", ""NodeJS"", ""REST API"", ""MongoDB"", ""Express""]",> 3 Tahun,S2/S3
U-0300,Cloud & DevOps,SRE,"[""Grafana"", ""Python"", ""CI/CD"", ""Prometheus"", ""Incident Management"", ""Git""]",< 1 Tahun,D3
U-0301,Mobile Development,iOS Developer,"[""CoreData"", ""SwiftUI"", ""Xcode"", ""Git"", ""Swift""]",< 1 Tahun,D3
U-0302,Mobile Development,Flutter Engineer,"[""BLoC"", ""Dart"", ""Provider"", ""Firebase""]",> 3 Tahun,S1/D4
U-0303,UI/UX Design,Product Designer,"[""Agile/Scrum"", ""User Research"", ""Miro"", ""Prototyping""]",< 1 Tahun,D3
U-0304,Data Science & AI,Data Analyst,"[""Tableau"", ""NumPy"", ""Statistics"", ""Git""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0305,Data Science & AI,Machine Learning Engineer,"[""Git"", ""Docker"", ""MLflow"", ""SQL""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0306,Cyber Security,DevSecOps,"[""DAST"", ""Docker""]",Belum ada pengalaman,SMA/SMK
U-0307,UI/UX Design,Product Designer,"[""Wireframing"", ""Figma"", ""User Research"", ""Design System"", ""Adobe XD"", ""Agile/Scrum""]",1 - 3 Tahun,S2/S3
U-0308,UI/UX Design,UX Researcher,"[""Personas""]",Belum ada pengalaman,SMA/SMK
U-0309,Cloud & DevOps,DevOps Engineer,"[""GitLab CI"", ""Jenkins"", ""Python""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0310,UI/UX Design,UI Designer,"[""Figma"", ""Wireframing"", ""Adobe XD"", ""Prototyping"", ""Typography"", ""Illustrator""]",> 3 Tahun,S1/D4
U-0311,Quality Assurance (QA) & Testing,Manual QA,"[""Test Case Writing""]",Belum ada pengalaman,SMA/SMK
U-0312,Cloud & DevOps,Cloud Engineer,"[""Git"", ""Terraform"", ""GCP"", ""Docker"", ""CI/CD""]",Belum ada pengalaman,SMA/SMK
U-0313,Quality Assurance (QA) & Testing,Automation QA,"[""Selenium"", ""Python"", ""Java"", ""CI/CD"", ""Playwright""]",1 - 3 Tahun,D3
U-0314,Mobile Development,Flutter Engineer,"[""Firebase"", ""Flutter"", ""Git"", ""GetX"", ""Dart""]",Belum ada pengalaman,S1/D4
U-0315,UI/UX Design,UI Designer,"[""Typography"", ""Illustrator"", ""Wireframing"", ""Figma"", ""Adobe XD"", ""Color Theory""]",> 3 Tahun,S1/D4
U-0316,Cloud & DevOps,SRE,"[""Incident Management""]",Belum ada pengalaman,D3
U-0317,Data Science & AI,AI Engineer,"[""PyTorch"", ""FastAPI"", ""HuggingFace"", ""Docker"", ""OpenAI API""]",1 - 3 Tahun,S1/D4
U-0318,Quality Assurance (QA) & Testing,Manual QA,"[""Postman"", ""Test Case Writing"", ""Regression Testing""]",Belum ada pengalaman,S1/D4
U-0319,UI/UX Design,Product Designer,"[""Design System"", ""Figma""]",> 3 Tahun,S2/S3
U-0320,Data Science & AI,AI Engineer,"[""SQL"", ""HuggingFace"", ""LangChain"", ""Python"", ""Vector DB""]",Belum ada pengalaman,S1/D4
U-0321,Data Science & AI,AI Engineer,"[""OpenAI API"", ""Git"", ""Docker"", ""FastAPI"", ""LangChain""]",Belum ada pengalaman,SMA/SMK
U-0322,Cyber Security,Security Analyst,"[""Incident Response"", ""Log Analysis"", ""IDS/IPS"", ""Firewall""]",> 3 Tahun,S2/S3
U-0323,Quality Assurance (QA) & Testing,Manual QA,"[""Postman"", ""API Testing"", ""Bug Reporting"", ""Regression Testing"", ""Jira"", ""Test Case Writing""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0324,Quality Assurance (QA) & Testing,SDET,"[""CI/CD"", ""Docker""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0325,Data Science & AI,Data Scientist,"[""NumPy"", ""Git"", ""Statistics"", ""Python""]",< 1 Tahun,S1/D4
U-0326,UI/UX Design,UX Researcher,"[""Journey Mapping""]",1 - 3 Tahun,D3
U-0327,Data Science & AI,Data Analyst,"[""Power BI"", ""Excel"", ""Pandas"", ""Git""]",Belum ada pengalaman,D3
U-0328,Mobile Development,iOS Developer,"[""Git"", ""CoreData"", ""SwiftUI"", ""Objective-C"", ""REST API""]",1 - 3 Tahun,S2/S3
U-0329,Quality Assurance (QA) & Testing,Automation QA,"[""TestNG"", ""Selenium"", ""Java"", ""Jira""]",1 - 3 Tahun,S2/S3
U-0330,Cloud & DevOps,Cloud Engineer,"[""AWS"", ""GCP"", ""Docker""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0331,Web Development,Backend Engineer,"[""PostgreSQL"", ""MongoDB"", ""REST API""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0332,Web Development,Frontend Engineer,"[""Vue.js"", ""Next.js"", ""Git"", ""Bootstrap"", ""HTML""]",> 3 Tahun,S1/D4
U-0333,UI/UX Design,UI Designer,"[""Color Theory"", ""Illustrator"", ""Figma""]",Belum ada pengalaman,S1/D4
U-0334,Quality Assurance (QA) & Testing,Manual QA,"[""Jira""]",1 - 3 Tahun,S1/D4
U-0335,Cloud & DevOps,SRE,"[""Prometheus"", ""Incident Management"", ""CI/CD"", ""Python"", ""Grafana"", ""Git""]",> 3 Tahun,S1/D4
U-0336,UI/UX Design,UI Designer,"[""Figma"", ""Prototyping"", ""Design System"", ""Adobe XD"", ""Color Theory"", ""Illustrator""]",Belum ada pengalaman,D3
U-0337,Mobile Development,Flutter Engineer,"[""Dart""]",> 3 Tahun,S1/D4
U-0338,Cyber Security,Security Analyst,"[""SIEM"", ""Linux""]",1 - 3 Tahun,D3
U-0339,Data Science & AI,Data Scientist,"[""Scikit-Learn"", ""NumPy""]",< 1 Tahun,D3
U-0340,UI/UX Design,Product Designer,"[""Agile/Scrum""]",< 1 Tahun,D3
U-0341,Web Development,Backend Engineer,"[""Django"", ""NodeJS"", ""Python"", ""Laravel"", ""REST API"", ""Git""]",> 3 Tahun,S1/D4
U-0342,Mobile Development,Flutter Engineer,"[""BLoC"", ""GetX"", ""Dart"", ""REST API"", ""Firebase""]",Belum ada pengalaman,S1/D4
U-0343,Cyber Security,DevSecOps,"[""DAST""]",1 - 3 Tahun,S1/D4
U-0344,UI/UX Design,Product Designer,"[""Agile/Scrum"", ""Adobe XD"", ""Wireframing""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0345,Cloud & DevOps,DevOps Engineer,"[""Ansible"", ""Terraform""]",1 - 3 Tahun,S1/D4
U-0346,Data Science & AI,Machine Learning Engineer,"[""TensorFlow"", ""MLflow"", ""SQL""]",> 3 Tahun,S2/S3
U-0347,Mobile Development,Flutter Engineer,"[""Git"", ""REST API""]",1 - 3 Tahun,S2/S3
U-0348,UI/UX Design,UI Designer,"[""Sketch"", ""Illustrator"", ""Color Theory"", ""Adobe XD"", ""Wireframing"", ""Design System""]",< 1 Tahun,S1/D4
U-0349,Cyber Security,Security Analyst,"[""Python"", ""Firewall"", ""Log Analysis"", ""SIEM"", ""Incident Response""]",> 3 Tahun,S2/S3
U-0350,Cloud & DevOps,DevOps Engineer,"[""Prometheus""]",1 - 3 Tahun,D3
U-0351,Data Science & AI,AI Engineer,"[""SQL"", ""OpenAI API"", ""HuggingFace"", ""LangChain"", ""PyTorch""]",> 3 Tahun,S2/S3
U-0352,Quality Assurance (QA) & Testing,SDET,"[""Performance Testing""]",Belum ada pengalaman,S1/D4
U-0353,Mobile Development,Android Developer,"[""Kotlin"", ""Android SDK"", ""Firebase""]",1 - 3 Tahun,S1/D4
U-0354,Cyber Security,Penetration Tester,"[""Kali Linux"", ""Bash"", ""Python"", ""Burp Suite"", ""Networking"", ""Wireshark""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0355,Web Development,Fullstack Engineer,"[""Docker"", ""ReactJS"", ""REST API"", ""JavaScript""]",1 - 3 Tahun,S1/D4
U-0356,UI/UX Design,UX Researcher,"[""Figma"", ""Maze"", ""Miro"", ""Data Analysis"", ""Personas"", ""Survey Design""]",< 1 Tahun,S1/D4
U-0357,Cloud & DevOps,DevOps Engineer,"[""Ansible""]",Belum ada pengalaman,D3
U-0358,UI/UX Design,Product Designer,"[""Figma"", ""User Research"", ""Wireframing"", ""Accessibility"", ""Prototyping"", ""Miro""]",1 - 3 Tahun,D3
U-0359,Mobile Development,Android Developer,"[""Android SDK""]",> 3 Tahun,S2/S3
U-0360,Quality Assurance (QA) & Testing,SDET,"[""Appium"", ""JMeter"", ""CI/CD"", ""API Testing"", ""Selenium"", ""Java""]",Belum ada pengalaman,SMA/SMK
U-0361,Web Development,Frontend Engineer,"[""Vue.js"", ""HTML""]",1 - 3 Tahun,D3
U-0362,Cyber Security,Security Analyst,"[""Incident Response"", ""IDS/IPS""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0363,Cyber Security,DevSecOps,"[""CI/CD"", ""Terraform"", ""Kubernetes"", ""Python""]",Belum ada pengalaman,S1/D4
U-0364,Cyber Security,Penetration Tester,"[""Python"", ""Wireshark"", ""Networking"", ""Nmap"", ""OWASP""]",Belum ada pengalaman,S1/D4
U-0365,UI/UX Design,UX Researcher,"[""User Interview""]",< 1 Tahun,S1/D4
U-0366,Web Development,Frontend Engineer,"[""TypeScript"", ""Vue.js"", ""Bootstrap"", ""JavaScript""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0367,Cyber Security,DevSecOps,"[""AWS""]",< 1 Tahun,S1/D4
U-0368,Data Science & AI,Data Analyst,"[""Data Visualization"", ""Excel"", ""Statistics"", ""Git""]",1 - 3 Tahun,S1/D4
U-0369,Web Development,Frontend Engineer,"[""Vue.js""]",> 3 Tahun,S2/S3
U-0370,Cyber Security,DevSecOps,"[""CI/CD"", ""AWS"", ""DAST"", ""Docker"", ""Kubernetes"", ""SAST""]",Belum ada pengalaman,S1/D4
U-0371,Cloud & DevOps,Cloud Engineer,"[""Python"", ""Linux"", ""Azure"", ""AWS"", ""Docker""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0372,Cloud & DevOps,Cloud Engineer,"[""Git""]",> 3 Tahun,S1/D4
U-0373,Web Development,Frontend Engineer,"[""Git"", ""Vue.js"", ""CSS"", ""ReactJS"", ""Bootstrap""]",> 3 Tahun,S1/D4
U-0374,Mobile Development,iOS Developer,"[""Firebase""]",< 1 Tahun,D3
U-0375,UI/UX Design,Product Designer,"[""Agile/Scrum"", ""Adobe XD"", ""Prototyping"", ""Miro"", ""Figma"", ""Accessibility""]",< 1 Tahun,S1/D4
U-0376,Quality Assurance (QA) & Testing,Manual QA,"[""Test Case Writing"", ""Jira"", ""SQL"", ""Regression Testing"", ""API Testing""]",1 - 3 Tahun,S2/S3
U-0377,Data Science & AI,Data Analyst,"[""Pandas"", ""Excel""]",> 3 Tahun,S2/S3
U-0378,Mobile Development,Android Developer,"[""Android SDK"", ""Room DB"", ""Git"", ""REST API"", ""Java"", ""Kotlin""]",< 1 Tahun,S1/D4
U-0379,Data Science & AI,AI Engineer,"[""FastAPI"", ""Git"", ""Docker""]",> 3 Tahun,S1/D4
U-0380,Cloud & DevOps,SRE,"[""Docker""]",1 - 3 Tahun,S1/D4
U-0381,Cloud & DevOps,Cloud Engineer,"[""Docker"", ""Git"", ""Terraform"", ""AWS"", ""CI/CD"", ""GCP""]",1 - 3 Tahun,D3
U-0382,Cyber Security,DevSecOps,"[""SAST"", ""Kubernetes"", ""Docker""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0383,Cloud & DevOps,DevOps Engineer,"[""Kubernetes"", ""Git"", ""Ansible"", ""Docker""]",> 3 Tahun,S1/D4
U-0384,UI/UX Design,Product Designer,"[""Adobe XD""]",< 1 Tahun,S1/D4
U-0385,Quality Assurance (QA) & Testing,Automation QA,"[""Git""]",< 1 Tahun,D3
U-0386,Cloud & DevOps,Cloud Engineer,"[""Azure"", ""GCP"", ""AWS"", ""Kubernetes""]",> 3 Tahun,S1/D4
U-0387,Quality Assurance (QA) & Testing,SDET,"[""Selenium"", ""Java""]",< 1 Tahun,S1/D4
U-0388,Cloud & DevOps,Cloud Engineer,"[""Python"", ""Terraform"", ""Git""]",> 3 Tahun,S2/S3
U-0389,Web Development,Frontend Engineer,"[""JavaScript"", ""Bootstrap"", ""TailwindCSS""]",> 3 Tahun,S1/D4
U-0390,Cyber Security,DevSecOps,"[""Terraform"", ""Kubernetes"", ""Git""]",< 1 Tahun,D3
U-0391,Mobile Development,iOS Developer,"[""Swift"", ""CoreData"", ""REST API""]",< 1 Tahun,D3
U-0392,Data Science & AI,AI Engineer,"[""SQL"", ""OpenAI API"", ""Git"", ""HuggingFace"", ""Docker"", ""Python""]",< 1 Tahun,Bootcamp/Sertifikasi
U-0393,Mobile Development,Flutter Engineer,"[""Flutter"", ""Firebase"", ""Git""]",1 - 3 Tahun,S2/S3
U-0394,Cyber Security,Security Analyst,"[""SIEM"", ""Firewall"", ""Python"", ""Threat Intelligence""]",1 - 3 Tahun,D3
U-0395,Cloud & DevOps,SRE,"[""Python"", ""Terraform""]",> 3 Tahun,S2/S3
U-0396,Mobile Development,Flutter Engineer,"[""Hive""]",< 1 Tahun,D3
U-0397,Quality Assurance (QA) & Testing,Automation QA,"[""CI/CD"", ""Cypress"", ""Selenium"", ""Git"", ""Jira""]",< 1 Tahun,S1/D4
U-0398,Data Science & AI,Data Analyst,"[""Pandas""]",Belum ada pengalaman,D3
U-0399,Data Science & AI,Machine Learning Engineer,"[""Python"", ""TensorFlow"", ""MLflow"", ""Git""]",< 1 Tahun,D3
U-0400,Web Development,Frontend Engineer,"[""Bootstrap"", ""JavaScript"", ""Vue.js"", ""Next.js"", ""CSS""]",< 1 Tahun,D3
U-0401,Quality Assurance (QA) & Testing,SDET,"[""Appium"", ""Java"", ""Docker"", ""API Testing"", ""Python"", ""JMeter""]",< 1 Tahun,S1/D4
U-0402,Quality Assurance (QA) & Testing,Manual QA,"[""Bug Reporting"", ""Agile/Scrum""]",> 3 Tahun,S1/D4
U-0403,UI/UX Design,UX Researcher,"[""Figma"", ""Survey Design"", ""Personas"", ""Miro"", ""Journey Mapping""]",1 - 3 Tahun,S2/S3
U-0404,Cyber Security,Security Analyst,"[""Networking"", ""SIEM"", ""Incident Response"", ""Linux""]",1 - 3 Tahun,D3
U-0405,Web Development,Backend Engineer,"[""Git"", ""Express"", ""NodeJS"", ""PostgreSQL"", ""REST API"", ""Django""]",Belum ada pengalaman,Bootcamp/Sertifikasi
U-0406,Data Science & AI,Machine Learning Engineer,"[""Docker"", ""Python"", ""Kubernetes"", ""Git"", ""TensorFlow""]",< 1 Tahun,S1/D4
U-0407,Web Development,Fullstack Engineer,"[""CSS"", ""REST API"", ""TypeScript""]",1 - 3 Tahun,S2/S3
U-0408,Mobile Development,iOS Developer,"[""Firebase"", ""REST API"", ""UIKit""]",> 3 Tahun,S1/D4
U-0409,Cloud & DevOps,DevOps Engineer,"[""Ansible"", ""Linux"", ""Kubernetes""]",< 1 Tahun,S1/D4
U-0410,Cyber Security,Security Analyst,"[""Firewall""]",> 3 Tahun,S2/S3
U-0411,UI/UX Design,Product Designer,"[""Accessibility""]",> 3 Tahun,S1/D4
